BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,BUILDING CLASS AT PRESENT,ADDRESS,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,AGE OF THE BUILDING,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,390,61,A4,189 EAST 7TH STREET,10009,1,0,1,987,2183,1860,158,1,A4,"$4,844,809",May-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,385,2,C7,21-23 AVENUE B,10009,12,4,16,4186,10588,1900,118,2,C7,"$10,350,000",Sep-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,389,18,C1,200 EAST 7TH STREET,10009,18,0,18,2271,10650,1910,108,2,C1,"$5,000,000",Sep-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,390,54,C3,203 EAST 7TH STREET,10009,4,0,4,1950,5446,2001,17,2,C3,"$6,250,000",May-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,390,64,C4,187 EAST 7TH STREET,10009,8,2,10,1642,5220,1910,108,2,C4,"$2,400,000",May-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,393,47,C4,377 EAST 10TH,10009,12,0,12,2370,10715,1900,118,2,C4,"$954,623",Jun-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,33,C7,28 AVENUE B,10009,16,1,17,1933,8699,1900,118,2,C7,"$5,000,000",Mar-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26,C7,234 EAST 4TH   STREET,10009,28,2,30,4616,18690,1900,118,2,C7,"$7,906,412",Mar-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,400,54,C7,207 EAST 4TH STREET,10009,8,3,11,2364,7166,1900,118,2,C7,"$3,000,000",May-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,36,C4,106 AVENUE B,10009,8,2,10,1919,7810,1900,118,2,C4,"$3,100,000",May-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,47,C3,317 EAST 10TH   STREET,10009,4,0,4,2369,4100,1900,118,2,C3,"$5,850,000",Mar-18
1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,406,27,C4,544 EAST 13TH STREET,10009,14,0,14,2468,10888,1900,118,2,C4,"$1,423,033",Jun-18
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,400,31,D6,62-74 AVENUE B,10009,81,2,83,14076,71334,1970,48,2,D6,"$82,000,000",Sep-18
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,406,48,D9,531 EAST 12TH STREET,10009,26,1,27,5163,29960,2009,9,2,D9,"$12,576,125",Nov-18
1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,406,48,D9,531 EAST 12TH STREET,10009,26,1,27,5163,29960,2009,9,2,D9,"$12,423,875",Nov-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1004,R4,399 EAST 8TH STREET,10009,1,0,1,0,481,2014,4,2,R4,"$732,376",Jul-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1010,R4,399 EAST 8TH STREET,10009,1,0,1,0,733,2014,4,2,R4,"$1,016,213",Oct-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1023,R4,143 AVENUE B,10009,1,0,1,6442,640,1928,90,2,R4,"$33,159",Sep-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1061,R4,143 AVENUE B,10009,1,0,1,6442,500,1928,90,2,R4,"$975,000",Jun-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1069,R4,143 AVENUE B,10009,1,0,1,6442,420,1928,90,2,R4,"$680,000",Feb-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1072,R4,143 AVENUE B,10009,1,0,1,6442,650,1928,90,2,R4,"$1,150,000",Feb-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1117,R4,631 EAST 9TH STREET,10009,1,0,1,0,933,2005,13,2,R4,"$1,372,500",Jul-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1118,R4,631 EAST 9TH STREET,10009,1,0,1,0,951,2005,13,2,R4,"$1,350,000",Sep-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1521,R4,189 AVENUE  C,10009,1,0,1,3853,671,1910,108,2,R4,"$692,410",Feb-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1533,R4,189 AVENUE C,10009,1,0,1,3853,751,1910,108,2,R4,"$780,000",Aug-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,396,1007,R4,215 AVENUE B,10009,1,0,1,0,528,2008,10,2,R4,"$685,000",Oct-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1302,R4,525 EAST 11TH STREET,10009,1,0,1,0,1039,1965,53,2,R4,"$2,000,000",Jan-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1318,R4,525 EAST 11TH STREET,10009,1,0,1,0,434,1965,53,2,R4,"$640,000",Sep-18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,406,1201,R4,536 EAST 13TH STREET,10009,1,0,1,0,1254,2013,5,2,R4,"$2,112,868",Aug-18
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,386,62,S4,217 EAST 3RD   STREET,10009,4,1,5,2212,6560,1900,118,2,S4,"$5,100,000",Feb-18
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2B,406,5,S9,202 AVENUE A,10009,6,2,8,2472,5399,1910,108,2,S9,"$6,750,000",Dec-17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,372,1006,R1,296 EAST 2ND STREET,10009,1,0,1,0,570,2003,15,2,R1,"$752,500",Sep-18
1,ALPHABET CITY,22 STORE BUILDINGS                         ,4,404,23,K4,538 EAST 11TH STREET,10009,1,1,2,4845,10968,1904,114,4,K4,"$16,250,000",Oct-18
1,ALPHABET CITY,34 THEATRES                                ,4,385,24,J9,238 EAST 3RD   STREET,10009,0,1,1,5253,4300,1920,98,4,J9,"$12,000,000",Apr-18
1,ALPHABET CITY,46 CONDO STORE BUILDINGS                   ,4,402,1301,RK,100 AVENUE A,10009,0,1,1,8100,12052,2014,4,4,RK,"$22,000,000",Dec-17
1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,743,63,A9,332 WEST 20TH STREET,10011,1,0,1,1510,3072,1910,108,1,A9,"$7,500,000",Aug-18
1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,770,62,A4,240 WEST 21ST STREET,10011,1,0,1,2162,3600,1901,117,1,A4,"$6,350,000",Oct-18
1,CHELSEA,01 ONE FAMILY DWELLINGS                    ,1,772,40,A9,209 WEST 22ND STREET,10011,1,0,1,822,2776,1901,117,1,A9,"$4,650,000",Jun-18
1,CHELSEA,04 TAX CLASS 1 CONDOS                      ,1C,769,1005,R6,237 WEST 19TH STREET,10011,1,0,1,0,675,1900,118,1,R6,"$1,450,000",Apr-18
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,694,30,C1,505 WEST 22ND STREET,10011,10,0,10,1274,6030,1900,118,2,C1,"$5,300,000",Jul-18
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,694,31,C7,203 10TH AVENUE,10011,8,1,9,1835,8520,1905,113,2,C7,"$22,318,320",Jul-18
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2B,719,15,C1,445 WEST 21ST STREET,10011,10,0,10,2534,9375,1910,108,2,C1,"$9,350,000",Aug-18
1,CHELSEA,07 RENTALS - WALKUP APARTMENTS             ,2A,738,63,C2,342 WEST 15TH   STREET,10011,6,0,6,1528,3950,1900,118,2,C2,"$7,500,000",Apr-18
